X,Y,Time
1210,467,82118.73500000034
1210,467,82139.1650000005
1201,492,82159.16500000004
1067,511,82175.1000000001
1039,586,82192.01500000013
1103,636,82209.23500000034
1103,636,82224.45999999996
1099,600,82241.90000000037
1099,600,82257.26000000071
1123,567,82273.12500000047
1149,535,82288.92500000075
1114,595,82304.5700000003
1114,595,82319.76000000071
1079,616,82337.59000000032
1079,523,82353.28000000073
1142,515,82368.40500000026
1134,542,82384.37000000058
1134,542,82400.46500000032
1119,604,82418.77000000048
1098,613,82433.92500000028
1108,606,82451.17000000039
1108,606,82467.93500000052
971,600,82484.10500000045
980,546,82500.48000000045
1014,655,82518.0700000003
1014,655,82534.63500000024
934,608,82552.21000000043
934,608,82569.5150000006
973,525,82585.68000000017
973,525,82600.73000000045
1013,634,82620.47000000067
1072,603,82636.24000000069
1072,603,82654.76000000024
888,624,82669.74500000058
888,624,82686.18000000017
1068,542,82702.25500000035
1068,542,82717.11500000022
953,607,82733.92000000039
953,607,82750.6950000003
953,607,82766.67000000039
1062,613,82784.05500000017
1062,613,82803.61500000069
961,593,82819.38000000035
961,593,82834.77500000037
896,634,82852.77500000037
897,591,82872.48000000045
947,554,82887.93500000052
947,554,82903.2250000001
956,526,82921.99000000069
956,526,82937.90500000026
1020,491,82960.37000000058
965,605,82975.87500000047
965,605,82991.33000000054
1022,710,83008.58500000043
1022,710,83023.35500000045
883,667,83038.77500000037
879,699,83054.25500000035
892,534,83070.04500000039
915,542,83085.80500000017
1035,462,83101.03500000015
1035,462,83116.96000000043
1035,462,83133.55000000028
867,507,83152.17000000039
866,646,83167.22500000056
980,565,83184.34000000032
980,565,83199.9750000001
921,649,83217.13000000035
921,649,83232.79499999993
886,620,83254.14500000002
888,644,83269.15000000037
849,708,83287.67000000039
849,708,83305.69000000041
873,493,83321.18000000017
873,493,83337.29500000039
891,578,83352.88500000071
891,578,83368.05500000017
895,486,83384.08500000043
895,486,83399.37000000011
938,453,83416.60499999998
938,453,83434.34000000032
1013,503,83449.90500000026
915,485,83469.4750000001
915,485,83484.83500000043
915,485,83504.42000000039
824,589,83527.49500000058
824,589,83543.86000000034
911,485,83559.75
911,485,83576.49000000022
923,652,83591.97500000056
923,652,83607.12000000058
844,543,83622.1650000005
844,543,83638.20000000065
831,517,83657.7900000005
844,507,83673.30000000028
955,607,83689.51500000013
955,607,83705.67500000028
817,670,83720.71500000032
817,670,83736.00500000035
815,500,83753.27000000048
855,557,83768.00000000047
898,569,83785.22000000067
906,545,83806.09000000032
860,582,83822.6950000003
877,533,83838.35500000045
877,533,83853.78000000026
877,533,83868.98000000045
787,655,83887.77000000048
787,655,83905.83000000054
894,620,83921.0950000002
863,558,83936.09000000032
836,602,83951.9150000005
824,613,83971.54000000004
907,493,83987.42500000028
967,517,84002.59000000032
759,570,84019.19000000041
737,601,84038.87500000047
942,667,84055.27500000037
942,667,84071.03000000026
819,515,84087.27500000037
819,515,84102.21000000043
923,576,84117.52500000037
923,576,84132.48500000034
778,666,84151.1950000003
778,666,84169.43500000052
708,687,84184.70500000054
708,687,84199.9450000003
828,588,84216.70000000019
831,591,84231.95000000065
831,591,84248.99500000011
878,692,84266.35500000045
928,615,84282.15000000037
875,590,84299.3900000006
861,592,84316.32500000065
861,592,84333.7250000001
842,625,84349.65000000037
842,625,84365.84500000067
790,568,84382.05000000028
747,653,84399.03000000026
835,713,84416.54500000039
835,713,84431.9700000002
858,718,84448.85500000045
858,718,84466.11000000034
807,692,84484.03500000015
807,692,84499.43500000052
777,630,84515.32500000065
777,630,84533.60000000056
812,793,84548.98500000034
812,793,84565.81499999994
759,680,84582.9700000002
759,680,84598.73500000034
667,786,84615.5
667,786,84631.5
682,715,84650.85500000045
767,712,84668.88000000035
750,710,84686.31000000006
750,710,84705.32500000019
751,675,84721.39500000048
751,675,84739.58500000043
758,773,84754.83000000054
758,773,84769.88000000035
605,640,84787.3500000001
595,780,84802.46500000032
832,636,84821.38500000024
797,657,84836.76500000013
660,709,84852.66000000015
660,709,84867.53000000026
757,702,84883.21500000032
757,702,84901.26000000024
799,618,84917.9700000002
799,618,84933.26500000013
759,612,84949.0249999999
771,613,84965.00000000047
751,686,84982.38000000035
775,706,85000.70000000019
819,705,85016.0950000002
685,656,85031.54500000039
685,656,85048.52500000037
692,684,85065.30500000017
697,686,85081.42500000075
605,692,85103.29000000004
650,772,85118.6499999999
650,772,85133.58500000043
687,759,85149.73000000045
687,759,85165.30500000017
630,653,85181.5150000006
630,653,85197.0150000006
678,682,85215.44000000041
691,694,85231.84500000067
678,709,85250.52000000048
678,709,85267.19000000041
601,692,85283.74500000058
601,692,85299.12999999989
709,767,85315.62500000047
709,767,85331.0950000002
676,697,85348.62500000047
676,697,85365.0400000005
676,697,85381.77500000037
572,720,85398.36500000022
632,632,85414.91000000015
600,613,85435.73500000034
615,572,85451.95000000019
615,572,85466.8999999999
641,577,85483.12500000047
650,528,85499.74500000011
653,640,85515.36000000034
653,640,85531.68000000017
594,558,85549.29500000039
594,558,85567.30000000028
725,580,85583.24500000058
725,703,85598.27000000002
671,604,85616.36500000069
671,604,85631.82500000019
645,572,85647.42500000028
645,572,85664.11000000034
638,520,85682.75500000035
638,520,85701.7900000005
670,546,85716.8900000006
670,546,85732.81000000006
670,546,85749.15000000037
630,586,85766.56499999994
630,586,85782.64000000013
687,643,85798.37000000011
687,643,85815.93000000063
604,675,85836.07500000019
628,665,85851.5400000005
628,665,85866.20500000054
522,708,85882.99000000022
617,589,85898.20500000007
617,589,85914.43500000052
720,612,85930.04500000039
615,681,85947.58499999996
615,681,85963.81500000041
694,699,85980.20500000054
694,699,86002.29500000039
546,661,86018.12500000047
546,661,86033.38500000024
602,600,86050.8200000003
586,564,86067.86000000034
619,477,86083.37500000047
652,483,86098.13500000024
652,483,86115.93500000052
643,610,86131.79000000004
614,637,86147.32500000019
644,581,86167.70500000054
644,581,86183.89500000048
578,742,86199.6400000006
578,742,86217.49500000058
602,578,86233.17500000075
602,578,86248.7650000006
470,670,86264.4750000001
470,670,86279.80000000028
522,644,86296.59000000032
518,608,86313.64500000048
532,626,86335.05500000017
501,650,86358.5950000002
501,650,86374.73000000045
532,589,86390.80500000017
532,589,86406.89500000048
557,617,86422.32500000019
557,617,86439.92500000028
623,596,86456.5400000005
623,596,86478.9150000005
675,632,86496.71500000032
675,632,86513.67000000039
609,486,86529.65500000073
609,486,86546.52000000002
426,668,86564.07500000065
426,668,86580.53000000026
497,579,86597.0400000005
514,603,86614.54000000004
591,634,86629.65000000037
591,634,86646.18500000052
582,673,86664.49500000011
440,633,86683.11000000034
494,644,86698.80000000028
456,622,86716.05000000028
494,617,86733.85499999998
595,613,86749.39000000013
595,613,86764.21500000032
575,617,86779.40500000026
604,641,86796.53500000015
421,579,86813.7900000005
421,579,86829.2900000005
445,564,86845.875
469,708,86862.68500000052
469,708,86879.13000000035
478,673,86895.93000000017
445,703,86915.83500000043
467,661,86933.73500000034
467,661,86948.96000000043
649,519,86968.99500000058
649,519,86985.89000000013
550,663,87001.14500000048
550,663,87016.01000000071
508,655,87031.74000000022
508,655,87047.83000000007
630,661,87063.19000000041
630,661,87079.5700000003
634,655,87096.56500000041
634,655,87113.54500000039
655,624,87130.04499999993
623,651,87150.41000000061
623,651,87168.92000000039
629,692,87184.88500000024
629,692,87203.27000000002
629,692,87217.9750000001
618,656,87233.36500000022
618,656,87250.3200000003
653,724,87265.36000000034
653,724,87280.39500000048
712,669,87295.83000000007
712,711,87312.11000000034
616,700,87329.39500000048
616,700,87348.03000000026
630,741,87363.99500000058
630,741,87380.23500000034
682,725,87400.08000000007
682,725,87416.23500000034
679,691,87433.12000000058
679,691,87448.56500000041
713,663,87463.88500000024
713,663,87483.61500000022
659,656,87504.8900000006
593,791,87519.9150000005
593,791,87535.48500000034
760,663,87550.6650000005
